county_name_raw,B19013_001E,B17001_001E,B17001_002E,B23025_003E,B23025_005E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state,county,data_year,state_fips,county_fips
"Washoe County, Nevada",74292,473453,51817,257098,12856,334033,66061,28578,7484,5910,NV,031,2021,32,32031
"White Pine County, Nevada",63590,7582,845,3688,139,6940,702,156,0,72,NV,033,2021,32,32033
"Carson City, Nevada",62217,55530,5560,28770,1312,41721,6442,2189,712,290,NV,510,2021,32,32510
"Beaver County, Utah",74569,6792,386,3044,156,4069,892,148,19,30,UT,001,2021,49,49001
"Box Elder County, Utah",67486,56522,3983,26744,711,33905,6081,1795,217,190,UT,003,2021,49,49003
"Cache County, Utah",65670,128586,17848,66562,1700,67191,16917,6409,1076,1816,UT,005,2021,49,49005
"Carbon County, Utah",51725,19895,3235,8837,599,13117,1396,576,119,96,UT,007,2021,49,49007
"Daggett County, Utah",49792,515,31,193,4,353,48,17,0,3,UT,009,2021,49,49009
"Davis County, Utah",92765,356055,19597,179276,4377,211179,53893,20766,3591,2097,UT,011,2021,49,49011
"Duchesne County, Utah",66463,19309,2554,8251,435,11589,1214,379,58,32,UT,013,2021,49,49013
"Emery County, Utah",61234,9739,1222,4032,170,6207,578,295,62,4,UT,015,2021,49,49015
"Garfield County, Utah",45724,4870,761,2277,111,3526,596,228,51,12,UT,017,2021,49,49017
"Grand County, Utah",51433,9563,1419,5547,67,7053,1153,426,308,9,UT,019,2021,49,49019
"Iron County, Utah",56308,55261,8477,26350,1098,31347,6266,1906,469,515,UT,021,2021,49,49021
"Juab County, Utah",74741,11518,1298,5352,126,6550,864,401,68,47,UT,023,2021,49,49023
"Kane County, Utah",56395,7397,924,3615,126,5599,1159,397,70,61,UT,025,2021,49,49025
"Millard County, Utah",66304,12707,1601,5690,177,7821,1456,332,22,29,UT,027,2021,49,49027
"Morgan County, Utah",112721,12154,219,5348,69,6795,1711,783,103,98,UT,029,2021,49,49029
"Piute County, Utah",33611,1782,354,658,37,1259,189,63,0,3,UT,031,2021,49,49031
"Rich County, Utah",67396,2502,177,943,29,1486,256,54,30,7,UT,033,2021,49,49033
"Salt Lake County, Utah",82206,1158163,97183,642365,24804,746749,178208,70377,17290,11362,UT,035,2021,49,49035
"San Juan County, Utah",52400,14287,3033,5987,664,8833,1188,452,136,41,UT,037,2021,49,49037
"Sanpete County, Utah",60186,25749,3406,12252,473,17140,2461,1117,119,240,UT,039,2021,49,49039
"Sevier County, Utah",60262,21138,2577,9657,523,13534,1990,765,99,96,UT,041,2021,49,49041
"Summit County, Utah",116351,41998,2210,23505,443,28465,9905,3985,1237,577,UT,043,2021,49,49043
"Tooele County, Utah",87557,70543,3352,36535,1484,41796,6103,2626,329,562,UT,045,2021,49,49045
"Uintah County, Utah",61293,35068,4358,15023,942,20935,2723,707,120,73,UT,047,2021,49,49047
"Utah County, Utah",82893,633351,58842,320736,11441,325810,95656,30915,5603,5606,UT,049,2021,49,49049
"Wasatch County, Utah",94044,33904,1717,17414,402,20573,5900,2049,584,570,UT,051,2021,49,49051
"Washington County, Utah",65040,174427,16037,77213,2453,115393,22042,8568,2409,2178,UT,053,2021,49,49053
"Wayne County, Utah",55605,2469,241,1152,6,1768,307,64,8,6,UT,055,2021,49,49055
"Weber County, Utah",74345,256428,21444,133755,4543,161818,29801,9833,1441,1475,UT,057,2021,49,49057
"Apache County, Arizona",37483,64716,21058,20148,1906,42220,3475,1921,179,244,AZ,001,2022,04,04001
"Cochise County, Arizona",58421,119388,17553,47420,3220,88211,14684,7074,1009,782,AZ,003,2022,04,04003
"Coconino County, Arizona",67266,133468,22531,73048,5093,86631,20215,9779,1949,2357,AZ,005,2022,04,04005
"Gila County, Arizona",55242,52176,9910,20087,1395,39673,4700,2047,250,178,AZ,007,2022,04,04007
"Graham County, Arizona",64089,35262,6230,14957,893,24362,2192,1046,86,75,AZ,009,2022,04,04009
"Greenlee County, Arizona",73756,9428,1208,4277,129,5854,774,141,61,0,AZ,011,2022,04,04011
"La Paz County, Arizona",46634,16364,3435,6124,657,13188,1103,442,47,41,AZ,012,2022,04,04012
"Maricopa County, Arizona",80675,4368048,503565,2284698,108652,2987215,655112,282668,64811,42482,AZ,013,2022,04,04013
"Mohave County, Arizona",53592,209848,33597,81983,6118,165754,14796,6310,1678,1095,AZ,015,2022,04,04015
"Navajo County, Arizona",50335,104364,26591,37616,3647,70604,7133,3781,813,481,AZ,017,2022,04,04017
"Pima County, Arizona",64323,1014998,151733,491806,28849,705718,140892,74070,15813,16114,AZ,019,2022,04,04019
"Pinal County, Arizona",73313,411007,46424,182524,11752,302970,43734,16824,1962,2330,AZ,021,2022,04,04021
"Santa Cruz County, Arizona",51885,47614,9622,21064,2074,30749,4308,2180,514,225,AZ,023,2022,04,04023
"Yavapai County, Arizona",62430,233449,28765,99854,4900,184475,31291,15289,3450,2877,AZ,025,2022,04,04025
"Yuma County, Arizona",56439,197646,34654,81641,6773,131335,14038,5745,1275,512,AZ,027,2022,04,04027
"Alameda County, California",122488,1637215,149843,915389,45290,1193888,343246,188430,37072,39387,CA,001,2022,06,06001
"Alpine County, California",101125,1515,208,679,33,1068,248,86,47,42,CA,003,2022,06,06003
"Amador County, California",74853,37571,2945,16893,1016,31901,4598,1287,534,141,CA,005,2022,06,06005
"Butte County, California",66085,208718,38015,102722,7344,138986,28092,9286,3363,2113,CA,007,2022,06,06007
"Calaveras County, California",77526,45223,5915,18512,1150,35412,5150,1723,410,294,CA,009,2022,06,06009
"Colusa County, California",69619,21600,2364,10501,773,14021,1530,359,82,32,CA,011,2022,06,06011
"Contra Costa County, California",120020,1153216,95255,609269,35616,808485,219701,95646,26142,18266,CA,013,2022,06,06013
"Del Norte County, California",61149,25096,3585,10574,662,19672,2193,841,290,161,CA,015,2022,06,06015
"El Dorado County, California",99246,190326,16364,92203,4244,140802,35536,11964,3985,1953,CA,017,2022,06,06017
"Fresno County, California",67756,990821,193675,463342,39943,624392,96794,32332,11596,5285,CA,019,2022,06,06019
"Glenn County, California",64033,28422,4335,13536,1040,18475,2120,432,113,82,CA,021,2022,06,06021
"Humboldt County, California",57881,133139,26394,66645,6162,93612,19011,6619,2135,1333,CA,023,2022,06,06023
"Imperial County, California",53847,171450,36092,69742,9205,110201,13008,3370,843,319,CA,025,2022,06,06025
"Inyo County, California",63417,18434,2199,8707,426,13867,2406,1236,98,275,CA,027,2022,06,06027
"Kern County, California",63883,881217,170013,391833,32872,553334,66940,25009,6336,3086,CA,029,2022,06,06029
"Kings County, California",68540,139603,22634,58267,5352,95084,9541,2996,795,669,CA,031,2022,06,06031
"Lake County, California",56259,66691,11065,28356,2948,48945,5943,2012,646,313,CA,033,2022,06,06033
