state,hour,offense_type,period,crime_count,avg_population,crime_rate_per_100k
AZ,15,motor_vehicle_theft,DST,745,596544.3611111111,124.88593448647784
AZ,15,motor_vehicle_theft,standard,372,596544.3611111111,62.359151179825176
AZ,16,burglary,DST,934,596544.3611111111,156.56840645687288
AZ,16,burglary,standard,538,596544.3611111111,90.18608423318803
AZ,16,motor_vehicle_theft,DST,847,596544.3611111111,141.98441142288152
AZ,16,motor_vehicle_theft,standard,386,596544.3611111111,64.70600095540999
AZ,17,burglary,DST,1009,596544.3611111111,169.14081596893442
AZ,17,burglary,standard,550,596544.3611111111,92.19766975511786
AZ,17,motor_vehicle_theft,DST,935,596544.3611111111,156.73603858370038
AZ,17,motor_vehicle_theft,standard,465,596544.3611111111,77.94893897478147
AZ,18,burglary,DST,874,596544.3611111111,146.51047884722365
AZ,18,burglary,standard,450,596544.3611111111,75.43445707236916
AZ,18,motor_vehicle_theft,DST,987,596544.3611111111,165.4529091787297
AZ,18,motor_vehicle_theft,standard,461,596544.3611111111,77.27841046747152
AZ,19,burglary,DST,684,596544.3611111111,114.66037475000113
AZ,19,burglary,standard,344,596544.3611111111,57.66545162865554
AZ,19,motor_vehicle_theft,DST,887,596544.3611111111,148.689696495981
AZ,19,motor_vehicle_theft,standard,438,596544.3611111111,73.42287155043933
AZ,20,burglary,DST,674,596544.3611111111,112.98405348172625
AZ,20,burglary,standard,331,596544.3611111111,55.48623397989821
AZ,20,motor_vehicle_theft,DST,908,596544.3611111111,152.20997115935822
AZ,20,motor_vehicle_theft,standard,477,596544.3611111111,79.96052449671132
AZ,21,burglary,DST,608,596544.3611111111,101.92033311111211
AZ,21,burglary,standard,279,596544.3611111111,46.76936338486888
AZ,21,motor_vehicle_theft,DST,1029,596544.3611111111,172.49345850548417
AZ,21,motor_vehicle_theft,standard,489,596544.3611111111,81.97211001864116
AZ,22,burglary,DST,531,596544.3611111111,89.0126593453956
AZ,22,burglary,standard,241,596544.3611111111,40.39934256542438
AZ,22,motor_vehicle_theft,DST,917,596544.3611111111,153.7186603008056
AZ,22,motor_vehicle_theft,standard,468,596544.3611111111,78.45183535526394
AZ,23,burglary,DST,465,596544.3611111111,77.94893897478147
AZ,23,burglary,standard,238,596544.3611111111,39.896446184941915
AZ,23,motor_vehicle_theft,DST,675,596544.3611111111,113.15168560855375
AZ,23,motor_vehicle_theft,standard,339,596544.3611111111,56.8272909945181
CA,1,burglary,DST,4960,676852.7011494252,732.8034580606641
CA,1,burglary,standard,2448,676852.7011494252,361.67396478477934
CA,1,motor_vehicle_theft,DST,4916,676852.7011494252,726.3027822230291
CA,1,motor_vehicle_theft,standard,2326,676852.7011494252,343.64936359860974
CA,2,burglary,DST,5924,676852.7011494252,875.2273559579382
CA,2,burglary,standard,3016,676852.7011494252,445.5917801433393
CA,2,motor_vehicle_theft,DST,4621,676852.7011494252,682.7187055843403
CA,2,motor_vehicle_theft,standard,2155,676852.7011494252,318.3853734114377
CA,3,burglary,DST,6998,676852.7011494252,1033.9029434492998
CA,3,burglary,standard,3479,676852.7011494252,513.9966190711795
CA,3,motor_vehicle_theft,DST,4452,676852.7011494252,657.7502006625153
CA,3,motor_vehicle_theft,standard,2042,676852.7011494252,301.69045591932985
CA,4,burglary,DST,6835,676852.7011494252,1009.820894323516
CA,4,burglary,standard,3413,676852.7011494252,504.24560531472713
CA,4,motor_vehicle_theft,DST,4430,676852.7011494252,654.4998627436979
CA,4,motor_vehicle_theft,standard,2050,676852.7011494252,302.872396980718
CA,5,burglary,DST,5322,676852.7011494252,786.2862910884786
CA,5,burglary,standard,2680,676852.7011494252,395.9502555650362
CA,5,motor_vehicle_theft,DST,4726,676852.7011494252,698.2316820150602
CA,5,motor_vehicle_theft,standard,2209,676852.7011494252,326.3634755758078
CA,6,burglary,DST,4110,676852.7011494252,607.2222202881712
CA,6,burglary,standard,2154,676852.7011494252,318.2376307787642
CA,6,motor_vehicle_theft,DST,5180,676852.7011494252,765.3068372488386
CA,6,motor_vehicle_theft,standard,2555,676852.7011494252,377.4824264808461
CA,7,burglary,DST,3984,676852.7011494252,588.6066485713076
CA,7,burglary,standard,2107,676852.7011494252,311.2937270431087
CA,7,motor_vehicle_theft,DST,5919,676852.7011494252,874.4886427945708
CA,7,motor_vehicle_theft,standard,2939,676852.7011494252,434.2155974274782
CA,8,burglary,DST,5046,676852.7011494252,745.5093244705869
CA,8,burglary,standard,2669,676852.7011494252,394.3250866056275
CA,8,motor_vehicle_theft,DST,7114,676852.7011494252,1051.041088839428
CA,8,motor_vehicle_theft,standard,3687,676852.7011494252,544.7270866672718
CA,9,burglary,DST,4627,676852.7011494252,683.6051613803816
CA,9,burglary,standard,2365,676852.7011494252,349.4113262728771
CA,9,motor_vehicle_theft,DST,6074,676852.7011494252,897.3887508589663
CA,9,motor_vehicle_theft,standard,3193,676852.7011494252,471.74222612655245
CA,10,burglary,DST,4878,676852.7011494252,720.6885621814354
CA,10,burglary,standard,2477,676852.7011494252,365.9585011323115
CA,10,motor_vehicle_theft,DST,6411,676852.7011494252,947.178018069943
CA,10,motor_vehicle_theft,standard,3192,676852.7011494252,471.59448349387895
CA,11,burglary,DST,4477,676852.7011494252,661.4437664793535
CA,11,burglary,standard,2297,676852.7011494252,339.3648272510777
CA,11,motor_vehicle_theft,DST,5620,676852.7011494252,830.313595625188
CA,11,motor_vehicle_theft,standard,2992,676852.7011494252,442.04595695917476
CA,12,burglary,DST,6313,676852.7011494252,932.6992400679379
