state,year,day_of_week,crime_type,avg_daily_count,data_year,population,avg_daily_rate_per_100k
AZ,2024,2,burglary,4.333333333333333,2024,7262907,0.05966389674731251
AZ,2024,2,motor_vehicle_theft,5.41501976284585,2024,7262907,0.07455719538809803
AZ,2024,3,burglary,4.2655737704918035,2024,7262907,0.05873094300246173
AZ,2024,3,motor_vehicle_theft,4.782287822878229,2024,7262907,0.06584536774157
AZ,2024,4,burglary,4.910256410256411,2024,7262907,0.06760731495331568
AZ,2024,4,motor_vehicle_theft,5.631768953068592,2024,7262907,0.0775415264586011
AZ,2024,5,burglary,4.501766784452297,2024,7262907,0.0619829881403176
AZ,2024,5,motor_vehicle_theft,5.683274021352313,2024,7262907,0.07825067870691876
AZ,2024,6,burglary,4.041958041958042,2024,7262907,0.055652069370543254
AZ,2024,6,motor_vehicle_theft,5.514925373134329,2024,7262907,0.07593275493042012
CA,2022,0,burglary,4.907568653717347,2022,39142414,0.012537726093534618
CA,2022,0,motor_vehicle_theft,5.888888888888889,2022,39142414,0.015044776974891965
CA,2022,1,burglary,4.8448753462603875,2022,39142414,0.012377558896240757
CA,2022,1,motor_vehicle_theft,5.551425030978934,2022,39142414,0.014182633270852774
CA,2022,2,burglary,4.762781186094069,2022,39142414,0.012167826915565477
CA,2022,2,motor_vehicle_theft,5.748264984227129,2022,39142414,0.014685514757028343
CA,2022,3,burglary,4.7710027100271,2022,39142414,0.012188831046616338
CA,2022,3,motor_vehicle_theft,5.60910815939279,2022,39142414,0.014330000595754747
CA,2022,4,burglary,5.250325945241199,2022,39142414,0.013413393321222341
CA,2022,4,motor_vehicle_theft,6.083078802687844,2022,39142414,0.015540888210644963
CA,2022,5,burglary,4.989403973509933,2022,39142414,0.01274679679569567
CA,2022,5,motor_vehicle_theft,5.7882797731569,2022,39142414,0.014787743477336118
CA,2022,6,burglary,4.786827195467422,2022,39142414,0.0122292590218565
CA,2022,6,motor_vehicle_theft,5.6180144641683105,2022,39142414,0.01435275418672009
CA,2023,0,burglary,6.18274415817855,2023,39198693,0.01577283242116912
CA,2023,0,motor_vehicle_theft,8.125211505922167,2023,39198693,0.02072827149089427
CA,2023,1,burglary,6.054354539839407,2023,39198693,0.015445296963955933
CA,2023,1,motor_vehicle_theft,8.195235328297501,2023,39198693,0.02090690964695558
CA,2023,2,burglary,5.872727272727273,2023,39198693,0.01498194664992344
CA,2023,2,motor_vehicle_theft,8.028242074927954,2023,39198693,0.020480892245381636
CA,2023,3,burglary,5.951544518473653,2023,39198693,0.015183017756417677
CA,2023,3,motor_vehicle_theft,7.997702469844917,2023,39198693,0.020402982491903282
CA,2023,4,burglary,6.461852067559697,2023,39198693,0.01648486613459203
CA,2023,4,motor_vehicle_theft,8.643099547511312,2023,39198693,0.0220494585049336
CA,2023,5,burglary,6.0422276621787026,2023,39198693,0.015414360020061645
CA,2023,5,motor_vehicle_theft,8.511396843950905,2023,39198693,0.02171347101790079
CA,2023,6,burglary,5.883995037220844,2023,39198693,0.015010691905520533
CA,2023,6,motor_vehicle_theft,8.210312862108923,2023,39198693,0.02094537402588633
CA,2024,0,burglary,6.674727932285369,2024,39431263,0.016927502251919673
CA,2024,0,motor_vehicle_theft,8.01923076923077,2024,39431263,0.020337240451138404
CA,2024,1,burglary,6.667086217747011,2024,39431263,0.01690812241481337
CA,2024,1,motor_vehicle_theft,7.634002361275089,2024,39431263,0.019360278572043428
CA,2024,2,burglary,6.713733075435203,2024,39431263,0.0170264215869403
CA,2024,2,motor_vehicle_theft,7.686819830713422,2024,39431263,0.01949422677816184
CA,2024,3,burglary,6.550401978973407,2024,39431263,0.016612204328766766
CA,2024,3,motor_vehicle_theft,7.855575868372943,2024,39431263,0.01992220200598937
CA,2024,4,burglary,7.4037151702786375,2024,39431263,0.018776256723703314
CA,2024,4,motor_vehicle_theft,8.2737955346651,2024,39431263,0.020982831654834642
CA,2024,5,burglary,6.855844155844156,2024,39431263,0.017386823637488242
CA,2024,5,motor_vehicle_theft,8.306322897483119,2024,39431263,0.021065322958291034
CA,2024,6,burglary,6.353135313531353,2024,39431263,0.01611192447356138
CA,2024,6,motor_vehicle_theft,7.710684273709484,2024,39431263,0.019554748407905383
NV,2022,0,burglary,10.276018099547512,2022,3176116,0.3235403901982016
NV,2022,0,motor_vehicle_theft,13.327868852459016,2022,3176116,0.41962789937329165
NV,2022,1,burglary,9.81651376146789,2022,3176116,0.30907289788747927
NV,2022,1,motor_vehicle_theft,12.534031413612565,2022,3176116,0.3946339306754717
NV,2022,2,burglary,9.417431192660551,2022,3176116,0.29650778474906303
NV,2022,2,motor_vehicle_theft,12.469945355191257,2022,3176116,0.39261618137345294
NV,2022,3,burglary,9.35,2022,3176116,0.29438471390843407
NV,2022,3,motor_vehicle_theft,12.176136363636363,2022,3176116,0.38336560640846756
NV,2022,4,burglary,9.1875,2022,3176116,0.28926840203569393
NV,2022,4,motor_vehicle_theft,12.69060773480663,2022,3176116,0.3995637355438728
NV,2022,5,burglary,8.5,2022,3176116,0.2676224671894855
NV,2022,5,motor_vehicle_theft,11.418079096045197,2022,3176116,0.35949817626450664
NV,2022,6,burglary,8.355,2022,3176116,0.26305714274919434
NV,2022,6,motor_vehicle_theft,12.248520710059172,2022,3176116,0.38564462727618176
NV,2023,0,burglary,9.737089201877934,2023,3214363,0.302924380409989
NV,2023,0,motor_vehicle_theft,17.861702127659573,2023,3214363,0.5556840384131965
NV,2023,1,burglary,10.185,2023,3214363,0.3168590479668911
NV,2023,1,motor_vehicle_theft,18.096045197740114,2023,3214363,0.5629745364086169
NV,2023,2,burglary,9.316831683168317,2023,3214363,0.2898500164159529
NV,2023,2,motor_vehicle_theft,16.78918918918919,2023,3214363,0.5223177714896914
NV,2023,3,burglary,9.341968911917098,2023,3214363,0.29063204472914533
NV,2023,3,motor_vehicle_theft,17.055248618784532,2023,3214363,0.5305949769451842
NV,2023,4,burglary,9.903553299492385,2023,3214363,0.3081031389265116
NV,2023,4,motor_vehicle_theft,18.828025477707005,2023,3214363,0.585746708685578
NV,2023,5,burglary,7.748743718592965,2023,3214363,0.24106623049708342
NV,2023,5,motor_vehicle_theft,17.901234567901234,2023,3214363,0.5569139069825416
NV,2023,6,burglary,7.953846153846154,2023,3214363,0.24744704172634374
NV,2023,6,motor_vehicle_theft,18.592814371257486,2023,3214363,0.5784292057635521
NV,2024,0,burglary,10.551351351351352,2024,3267467,0.3229214358202042
NV,2024,0,motor_vehicle_theft,15.512987012987013,2024,3267467,0.47477103863595294
NV,2024,1,burglary,9.75,2024,3267467,0.2983962806663388
NV,2024,1,motor_vehicle_theft,15.373333333333333,2024,3267467,0.47049697313954
NV,2024,2,burglary,9.128491620111731,2024,3267467,0.2793751741061725
NV,2024,2,motor_vehicle_theft,14.174496644295303,2024,3267467,0.4338068798948942
NV,2024,3,burglary,9.738636363636363,2024,3267467,0.2980484994534409
NV,2024,3,motor_vehicle_theft,13.865384615384615,2024,3267467,0.42434658453733776
NV,2024,4,burglary,9.703488372093023,2024,3267467,0.2969728040740128
NV,2024,4,motor_vehicle_theft,12.635838150289016,2024,3267467,0.3867166263741613
NV,2024,5,burglary,8.30722891566265,2024,3267467,0.2542406370335997
NV,2024,5,motor_vehicle_theft,15.141891891891891,2024,3267467,0.4634137664402392
NV,2024,6,burglary,8.21264367816092,2024,3267467,0.25134587979498857
NV,2024,6,motor_vehicle_theft,14.283870967741935,2024,3267467,0.43715425336329133
