state,hour,offense_type,crime_count,avg_population,crime_rate_per_100k
CA,7,motor_vehicle_theft,8858,676852.7011494252,1308.7042402220488
CA,8,burglary,7715,676852.7011494252,1139.8344110762143
CA,8,motor_vehicle_theft,10801,676852.7011494252,1595.7681755067
CA,9,burglary,6992,676852.7011494252,1033.0164876532588
CA,9,motor_vehicle_theft,9267,676852.7011494252,1369.1309769855188
CA,10,burglary,7355,676852.7011494252,1086.6470633137467
CA,10,motor_vehicle_theft,9603,676852.7011494252,1418.772501563822
CA,11,burglary,6774,676852.7011494252,1000.8085937304311
CA,11,motor_vehicle_theft,8612,676852.7011494252,1272.3595525843627
CA,12,burglary,9444,676852.7011494252,1395.281422968732
CA,12,motor_vehicle_theft,11537,676852.7011494252,1704.5067531544114
CA,13,burglary,6416,676852.7011494252,947.9167312333105
CA,13,motor_vehicle_theft,8566,676852.7011494252,1265.5633914813807
CA,14,burglary,7192,676852.7011494252,1062.5650141879628
CA,14,motor_vehicle_theft,9591,676852.7011494252,1416.9995899717396
CA,15,burglary,8412,676852.7011494252,1242.8110260496583
CA,15,motor_vehicle_theft,10760,676852.7011494252,1589.7107275670858
CA,16,burglary,9042,676852.7011494252,1335.8888846339767
CA,16,motor_vehicle_theft,12327,676852.7011494252,1821.2234329664932
CA,17,burglary,10951,676852.7011494252,1617.9295704077283
CA,17,motor_vehicle_theft,14721,676852.7011494252,2174.9192955869025
CA,18,burglary,9525,676852.7011494252,1407.2485762152874
CA,18,motor_vehicle_theft,14956,676852.7011494252,2209.63881426518
CA,19,burglary,7861,676852.7011494252,1161.4048354465483
CA,19,motor_vehicle_theft,14228,676852.7011494252,2102.082177678856
CA,20,burglary,7795,676852.7011494252,1151.653821690096
CA,20,motor_vehicle_theft,15825,676852.7011494252,2338.0271620584695
CA,21,burglary,7471,676852.7011494252,1103.7852087038752
CA,21,motor_vehicle_theft,15531,676852.7011494252,2294.590828052454
CA,22,burglary,6875,676852.7011494252,1015.7305996304567
CA,22,motor_vehicle_theft,15375,676852.7011494252,2271.5429773553847
CA,23,burglary,6034,676852.7011494252,891.4790455520256
CA,23,motor_vehicle_theft,11851,676852.7011494252,1750.897939813897
NV,1,burglary,1070,189371.49019607843,565.0269736442925
NV,1,motor_vehicle_theft,1384,189371.49019607843,730.8386275922437
NV,2,burglary,1091,189371.49019607843,576.116288080302
NV,2,motor_vehicle_theft,1177,189371.49019607843,621.5296710087217
NV,3,burglary,1090,189371.49019607843,575.5882254881111
NV,3,motor_vehicle_theft,1124,189371.49019607843,593.5423536226026
NV,4,burglary,1085,189371.49019607843,572.9479125271564
NV,4,motor_vehicle_theft,1282,189371.49019607843,676.9762431887691
NV,5,burglary,941,189371.49019607843,496.9068992516628
NV,5,motor_vehicle_theft,1692,189371.49019607843,893.4819059870495
NV,6,burglary,1039,189371.49019607843,548.6570332863737
NV,6,motor_vehicle_theft,2194,189371.49019607843,1158.569327266895
NV,7,burglary,1344,189371.49019607843,709.7161239046067
NV,7,motor_vehicle_theft,2819,189371.49019607843,1488.6084473862247
NV,8,burglary,1720,189371.49019607843,908.2676585683954
NV,8,motor_vehicle_theft,3040,189371.49019607843,1605.3102802604199
NV,9,burglary,2161,189371.49019607843,1141.1432617245944
NV,9,motor_vehicle_theft,3218,189371.49019607843,1699.3054216704047
NV,10,burglary,2230,189371.49019607843,1177.5795805857686
NV,10,motor_vehicle_theft,3087,189371.49019607843,1630.1292220933933
NV,11,burglary,2207,189371.49019607843,1165.434140965377
NV,11,motor_vehicle_theft,2940,189371.49019607843,1552.504021041327
NV,12,burglary,2153,189371.49019607843,1136.9187609870671
NV,12,motor_vehicle_theft,2799,189371.49019607843,1478.0471955424064
NV,13,burglary,2005,189371.49019607843,1058.7654973428098
NV,13,motor_vehicle_theft,2599,189371.49019607843,1372.4346771042208
NV,14,burglary,2160,189371.49019607843,1140.6151991324034
NV,14,motor_vehicle_theft,2563,189371.49019607843,1353.4244237853475
NV,15,burglary,2264,189371.49019607843,1195.53370872026
NV,15,motor_vehicle_theft,2751,189371.49019607843,1452.7001911172417
NV,16,burglary,2053,189371.49019607843,1084.1125017679742
NV,16,motor_vehicle_theft,2800,189371.49019607843,1478.575258134597
NV,17,burglary,1548,189371.49019607843,817.4408927115559
NV,17,motor_vehicle_theft,2143,189371.49019607843,1131.6381350651577
NV,18,burglary,1487,189371.49019607843,785.2290745879093
NV,18,motor_vehicle_theft,2144,189371.49019607843,1132.1661976573487
NV,19,burglary,1372,189371.49019607843,724.5018764859526
NV,19,motor_vehicle_theft,1842,189371.49019607843,972.6912948156885
NV,20,burglary,1287,189371.49019607843,679.6165561497237
NV,20,motor_vehicle_theft,1820,189371.49019607843,961.0739177874882
NV,21,burglary,1210,189371.49019607843,638.9557365510224
NV,21,motor_vehicle_theft,1707,189371.49019607843,901.4028448699133
NV,22,burglary,1119,189371.49019607843,590.9020406616479
NV,22,motor_vehicle_theft,1715,189371.49019607843,905.6273456074407
NV,23,burglary,1068,189371.49019607843,563.9708484599106
NV,23,motor_vehicle_theft,1446,189371.49019607843,763.5785083080813
