state,year,hour,offense_type,period,crime_count,data_year,population,crime_rate_per_100k
AZ,2023,12,burglary,standard,189,2023,7153691,2.6419927838650006
AZ,2023,12,motor_vehicle_theft,DST,271,2023,7153691,3.7882542033196565
AZ,2023,12,motor_vehicle_theft,standard,127,2023,7153691,1.7753073203748944
AZ,2023,13,burglary,DST,270,2023,7153691,3.774275405521429
AZ,2023,13,burglary,standard,136,2023,7153691,1.901116500558942
AZ,2023,13,motor_vehicle_theft,DST,247,2023,7153691,3.4527630561621963
AZ,2023,13,motor_vehicle_theft,standard,99,2023,7153691,1.383900982024524
AZ,2023,14,burglary,DST,320,2023,7153691,4.473215295432805
AZ,2023,14,burglary,standard,135,2023,7153691,1.8871377027607146
AZ,2023,14,motor_vehicle_theft,DST,237,2023,7153691,3.3129750781799214
AZ,2023,14,motor_vehicle_theft,standard,148,2023,7153691,2.0688620741376726
AZ,2023,15,burglary,DST,341,2023,7153691,4.766770049195583
AZ,2023,15,burglary,standard,161,2023,7153691,2.2505864455146303
AZ,2023,15,motor_vehicle_theft,DST,260,2023,7153691,3.634487427539154
AZ,2023,15,motor_vehicle_theft,standard,112,2023,7153691,1.5656253534014817
AZ,2023,16,burglary,DST,308,2023,7153691,4.305469721854076
AZ,2023,16,burglary,standard,169,2023,7153691,2.3624168279004505
AZ,2023,16,motor_vehicle_theft,DST,293,2023,7153691,4.0957877548806625
AZ,2023,16,motor_vehicle_theft,standard,118,2023,7153691,1.6494981401908468
AZ,2023,17,burglary,DST,319,2023,7153691,4.459236497634578
AZ,2023,17,burglary,standard,176,2023,7153691,2.460268412488043
AZ,2023,17,motor_vehicle_theft,DST,308,2023,7153691,4.305469721854076
AZ,2023,17,motor_vehicle_theft,standard,149,2023,7153691,2.0828408719359
AZ,2023,18,burglary,DST,280,2023,7153691,3.9140633835037044
AZ,2023,18,burglary,standard,154,2023,7153691,2.152734860927038
AZ,2023,18,motor_vehicle_theft,DST,331,2023,7153691,4.626982071213308
AZ,2023,18,motor_vehicle_theft,standard,145,2023,7153691,2.02692568074299
AZ,2023,19,burglary,DST,210,2023,7153691,2.9355475376277784
AZ,2023,19,burglary,standard,98,2023,7153691,1.3699221842262965
AZ,2023,19,motor_vehicle_theft,DST,287,2023,7153691,4.011914968091298
AZ,2023,19,motor_vehicle_theft,standard,140,2023,7153691,1.9570316917518522
AZ,2023,20,burglary,DST,215,2023,7153691,3.005441526618916
AZ,2023,20,burglary,standard,115,2023,7153691,1.6075617467961643
AZ,2023,20,motor_vehicle_theft,DST,308,2023,7153691,4.305469721854076
AZ,2023,20,motor_vehicle_theft,standard,174,2023,7153691,2.432310816891588
