state,year,month,crime_type,avg_daily_count,data_year,population,avg_daily_rate_per_100k
CA,2023,8,motor_vehicle_theft,9.56328502415459,2023,39198693,0.024396948704781023
CA,2023,9,burglary,6.184238551650692,2023,39198693,0.01577664477652531
CA,2023,9,motor_vehicle_theft,9.051485148514852,2023,39198693,0.02309129324417743
CA,2023,10,burglary,6.131832797427653,2023,39198693,0.015642952170440105
CA,2023,10,motor_vehicle_theft,8.875722543352602,2023,39198693,0.022642904301305663
CA,2023,11,burglary,5.580543933054393,2023,39198693,0.014236556134803763
CA,2023,11,motor_vehicle_theft,8.207106598984772,2023,39198693,0.020937194510502615
CA,2023,12,burglary,6.019210245464247,2023,39198693,0.015355640162451967
CA,2023,12,motor_vehicle_theft,8.039643211100099,2023,39198693,0.020509977746197047
CA,2024,1,burglary,6.420289855072464,2024,39431263,0.01628223233699733
CA,2024,1,motor_vehicle_theft,8.459302325581396,2024,39431263,0.021453287777217268
CA,2024,2,burglary,6.1127395715896276,2024,39431263,0.015502266746032525
CA,2024,2,motor_vehicle_theft,8.427813163481954,2024,39431263,0.021373429411789203
CA,2024,3,burglary,5.903499469777307,2024,39431263,0.014971621552617545
CA,2024,3,motor_vehicle_theft,7.994100294985251,2024,39431263,0.020273508091752605
CA,2024,4,burglary,6.209729729729729,2024,39431263,0.01574823948634293
CA,2024,4,motor_vehicle_theft,8.136170212765958,2024,39431263,0.020633805751456548
CA,2024,5,burglary,6.497938144329897,2024,39431263,0.016479152961268062
CA,2024,5,motor_vehicle_theft,8.35030549898167,2024,39431263,0.021176865420165898
CA,2024,6,burglary,6.9823399558498895,2024,39431263,0.017707624419359556
CA,2024,6,motor_vehicle_theft,8.130841121495328,2024,39431263,0.020620290862849937
CA,2024,7,burglary,7.189542483660131,2024,39431263,0.018233102205374784
CA,2024,7,motor_vehicle_theft,7.912487708947886,2024,39431263,0.020066533777900762
CA,2024,8,burglary,7.165226781857451,2024,39431263,0.01817143615678111
CA,2024,8,motor_vehicle_theft,7.807265388496468,2024,39431263,0.01979968379023636
CA,2024,9,burglary,7.01803833145434,2024,39431263,0.01779815759757515
CA,2024,9,motor_vehicle_theft,7.369905956112853,2024,39431263,0.018690514569905746
CA,2024,10,burglary,7.115594329334788,2024,39431263,0.018045565340716548
