year,state,incident_date,days_from_transition,crime_type,avg_daily_count,avg_daily_rate_per_100k
2022,AZ,2022-03-20,7,theft_from_motor_vehicle,30,0.42498943547094997
2022,AZ,2022-03-21,8,burglary,26,0.3683241774081566
2022,AZ,2022-03-21,8,motor_vehicle_theft,24,0.33999154837675993
2022,AZ,2022-03-21,8,robbery,4,0.05666525806279332
2022,AZ,2022-03-21,8,shoplifting,53,0.7508146693320115
2022,AZ,2022-03-21,8,theft_from_building,6,0.08499788709418998
2022,AZ,2022-03-21,8,theft_from_motor_vehicle,35,0.4958210080494416
2022,AZ,2022-03-22,9,burglary,24,0.33999154837675993
2022,AZ,2022-03-22,9,motor_vehicle_theft,18,0.25499366128256995
2022,AZ,2022-03-22,9,robbery,3,0.04249894354709499
2022,AZ,2022-03-22,9,shoplifting,57,0.8074799273948048
2022,AZ,2022-03-22,9,theft_from_building,12,0.16999577418837997
2022,AZ,2022-03-22,9,theft_from_motor_vehicle,30,0.42498943547094997
2022,AZ,2022-03-23,10,burglary,24,0.33999154837675993
2022,AZ,2022-03-23,10,motor_vehicle_theft,17,0.24082734676687162
2022,AZ,2022-03-23,10,robbery,6,0.08499788709418998
2022,AZ,2022-03-23,10,shoplifting,54,0.7649809838477099
2022,AZ,2022-03-23,10,theft_from_building,6,0.08499788709418998
2022,AZ,2022-03-23,10,theft_from_motor_vehicle,44,0.6233178386907265
2022,AZ,2022-03-24,11,burglary,35,0.4958210080494416
2022,AZ,2022-03-24,11,motor_vehicle_theft,13,0.1841620887040783
2022,AZ,2022-03-24,11,robbery,4,0.05666525806279332
2022,AZ,2022-03-24,11,shoplifting,53,0.7508146693320115
2022,AZ,2022-03-24,11,theft_from_building,13,0.1841620887040783
2022,AZ,2022-03-24,11,theft_from_motor_vehicle,35,0.4958210080494416
2022,AZ,2022-03-25,12,burglary,40,0.5666525806279332
2022,AZ,2022-03-25,12,motor_vehicle_theft,17,0.24082734676687162
2022,AZ,2022-03-25,12,robbery,5,0.07083157257849165
2022,AZ,2022-03-25,12,shoplifting,47,0.6658167822378215
2022,AZ,2022-03-25,12,theft_from_building,10,0.1416631451569833
2022,AZ,2022-03-25,12,theft_from_motor_vehicle,41,0.5808188951436316
2022,AZ,2022-03-26,13,burglary,21,0.29749260482966494
2022,AZ,2022-03-26,13,motor_vehicle_theft,19,0.2691599757982683
2022,AZ,2022-03-26,13,robbery,4,0.05666525806279332
2022,AZ,2022-03-26,13,shoplifting,39,0.552486266112235
2022,AZ,2022-03-26,13,theft_from_building,12,0.16999577418837997
2022,AZ,2022-03-26,13,theft_from_motor_vehicle,25,0.35415786289245826
2022,AZ,2022-03-27,14,burglary,19,0.2691599757982683
2022,AZ,2022-03-27,14,motor_vehicle_theft,16,0.2266610322511733
2022,AZ,2022-03-27,14,robbery,7,0.09916420160988831
2022,AZ,2022-03-27,14,shoplifting,42,0.5949852096593299
2022,AZ,2022-03-27,14,theft_from_building,9,0.12749683064128498
2022,AZ,2022-03-27,14,theft_from_motor_vehicle,19,0.2691599757982683
2023,AZ,2023-02-26,-14,burglary,25,0.3494699449556879
2023,AZ,2023-02-26,-14,motor_vehicle_theft,12,0.16774557357873018
2023,AZ,2023-02-26,-14,robbery,3,0.041936393394682546
2023,AZ,2023-02-26,-14,shoplifting,54,0.7548550811042859
2023,AZ,2023-02-26,-14,theft_from_building,13,0.1817243713769577
2023,AZ,2023-02-26,-14,theft_from_motor_vehicle,23,0.3215123493592329
2023,AZ,2023-02-27,-13,burglary,18,0.2516183603680953
2023,AZ,2023-02-27,-13,motor_vehicle_theft,17,0.23763956256986776
2023,AZ,2023-02-27,-13,robbery,2,0.02795759559645503
2023,AZ,2023-02-27,-13,shoplifting,56,0.7828126767007408
2023,AZ,2023-02-27,-13,theft_from_building,9,0.12580918018404766
2023,AZ,2023-02-27,-13,theft_from_motor_vehicle,20,0.2795759559645503
2023,AZ,2023-02-28,-12,burglary,24,0.33549114715746037
2023,AZ,2023-02-28,-12,motor_vehicle_theft,17,0.23763956256986776
2023,AZ,2023-02-28,-12,robbery,8,0.11183038238582012
2023,AZ,2023-02-28,-12,shoplifting,39,0.5451731141308732
2023,AZ,2023-02-28,-12,theft_from_building,5,0.06989398899113758
2023,AZ,2023-02-28,-12,theft_from_motor_vehicle,17,0.23763956256986776
2023,AZ,2023-03-01,-11,burglary,23,0.3215123493592329
2023,AZ,2023-03-01,-11,motor_vehicle_theft,15,0.20968196697341274
2023,AZ,2023-03-01,-11,robbery,3,0.041936393394682546
2023,AZ,2023-03-01,-11,shoplifting,46,0.6430246987184658
2023,AZ,2023-03-01,-11,theft_from_building,28,0.3914063383503704
2023,AZ,2023-03-01,-11,theft_from_motor_vehicle,18,0.2516183603680953
2023,AZ,2023-03-02,-10,burglary,19,0.26559715816632284
2023,AZ,2023-03-02,-10,motor_vehicle_theft,10,0.13978797798227516
2023,AZ,2023-03-02,-10,robbery,4,0.05591519119291006
2023,AZ,2023-03-02,-10,shoplifting,59,0.8247490700954234
2023,AZ,2023-03-02,-10,theft_from_building,13,0.1817243713769577
2023,AZ,2023-03-02,-10,theft_from_motor_vehicle,27,0.37742754055214295
2023,AZ,2023-03-03,-9,burglary,31,0.433342731745053
2023,AZ,2023-03-03,-9,motor_vehicle_theft,17,0.23763956256986776
2023,AZ,2023-03-03,-9,robbery,7,0.0978515845875926
2023,AZ,2023-03-03,-9,shoplifting,61,0.8527066656918785
2023,AZ,2023-03-03,-9,theft_from_building,16,0.22366076477164024
2023,AZ,2023-03-03,-9,theft_from_motor_vehicle,19,0.26559715816632284
2023,AZ,2023-03-04,-8,burglary,16,0.22366076477164024
2023,AZ,2023-03-04,-8,motor_vehicle_theft,12,0.16774557357873018
2023,AZ,2023-03-04,-8,robbery,4,0.05591519119291006
2023,AZ,2023-03-04,-8,shoplifting,59,0.8247490700954234
2023,AZ,2023-03-04,-8,theft_from_building,10,0.13978797798227516
2023,AZ,2023-03-04,-8,theft_from_motor_vehicle,19,0.26559715816632284
2023,AZ,2023-03-05,-7,burglary,25,0.3494699449556879
2023,AZ,2023-03-05,-7,motor_vehicle_theft,21,0.29355475376277784
2023,AZ,2023-03-05,-7,robbery,5,0.06989398899113758
2023,AZ,2023-03-05,-7,shoplifting,48,0.6709822943149207
2023,AZ,2023-03-05,-7,theft_from_building,8,0.11183038238582012
2023,AZ,2023-03-05,-7,theft_from_motor_vehicle,21,0.29355475376277784
2023,AZ,2023-03-06,-6,burglary,21,0.29355475376277784
2023,AZ,2023-03-06,-6,motor_vehicle_theft,16,0.22366076477164024
2023,AZ,2023-03-06,-6,robbery,7,0.0978515845875926
2023,AZ,2023-03-06,-6,shoplifting,40,0.5591519119291006
2023,AZ,2023-03-06,-6,theft_from_building,9,0.12580918018404766
2023,AZ,2023-03-06,-6,theft_from_motor_vehicle,22,0.30753355156100537
2023,AZ,2023-03-07,-5,burglary,24,0.33549114715746037
2023,AZ,2023-03-07,-5,motor_vehicle_theft,26,0.3634487427539154
2023,AZ,2023-03-07,-5,robbery,6,0.08387278678936509
2023,AZ,2023-03-07,-5,shoplifting,54,0.7548550811042859
2023,AZ,2023-03-07,-5,theft_from_building,10,0.13978797798227516
2023,AZ,2023-03-07,-5,theft_from_motor_vehicle,39,0.5451731141308732
2023,AZ,2023-03-08,-4,burglary,25,0.3494699449556879
2023,AZ,2023-03-08,-4,motor_vehicle_theft,16,0.22366076477164024
2023,AZ,2023-03-08,-4,robbery,7,0.0978515845875926
2023,AZ,2023-03-08,-4,shoplifting,50,0.6989398899113758
2023,AZ,2023-03-08,-4,theft_from_building,11,0.15376677578050268
2023,AZ,2023-03-08,-4,theft_from_motor_vehicle,18,0.2516183603680953
2023,AZ,2023-03-09,-3,burglary,13,0.1817243713769577
2023,AZ,2023-03-09,-3,motor_vehicle_theft,15,0.20968196697341274
2023,AZ,2023-03-09,-3,robbery,2,0.02795759559645503
2023,AZ,2023-03-09,-3,shoplifting,47,0.6570034965166933
2023,AZ,2023-03-09,-3,theft_from_building,14,0.1957031691751852
2023,AZ,2023-03-09,-3,theft_from_motor_vehicle,27,0.37742754055214295
2023,AZ,2023-03-10,-2,burglary,23,0.3215123493592329
2023,AZ,2023-03-10,-2,motor_vehicle_theft,21,0.29355475376277784
2023,AZ,2023-03-10,-2,robbery,4,0.05591519119291006
2023,AZ,2023-03-10,-2,shoplifting,57,0.7967914744989684
2023,AZ,2023-03-10,-2,theft_from_building,12,0.16774557357873018
2023,AZ,2023-03-10,-2,theft_from_motor_vehicle,26,0.3634487427539154
2023,AZ,2023-03-11,-1,burglary,19,0.26559715816632284
2023,AZ,2023-03-11,-1,motor_vehicle_theft,19,0.26559715816632284
2023,AZ,2023-03-11,-1,robbery,3,0.041936393394682546
2023,AZ,2023-03-11,-1,shoplifting,50,0.6989398899113758
2023,AZ,2023-03-11,-1,theft_from_building,11,0.15376677578050268
2023,AZ,2023-03-11,-1,theft_from_motor_vehicle,37,0.5172155185344182
2023,AZ,2023-03-12,0,burglary,17,0.23763956256986776
2023,AZ,2023-03-12,0,motor_vehicle_theft,19,0.26559715816632284
2023,AZ,2023-03-12,0,robbery,1,0.013978797798227515
2023,AZ,2023-03-12,0,shoplifting,49,0.6849610921131483
2023,AZ,2023-03-12,0,theft_from_building,6,0.08387278678936509
2023,AZ,2023-03-12,0,theft_from_motor_vehicle,31,0.433342731745053
2023,AZ,2023-03-13,1,burglary,27,0.37742754055214295
2023,AZ,2023-03-13,1,motor_vehicle_theft,24,0.33549114715746037
2023,AZ,2023-03-13,1,robbery,6,0.08387278678936509
2023,AZ,2023-03-13,1,shoplifting,44,0.6150671031220107
2023,AZ,2023-03-13,1,theft_from_building,9,0.12580918018404766
2023,AZ,2023-03-13,1,theft_from_motor_vehicle,16,0.22366076477164024
2023,AZ,2023-03-14,2,burglary,33,0.461300327341508
2023,AZ,2023-03-14,2,motor_vehicle_theft,15,0.20968196697341274
2023,AZ,2023-03-14,2,robbery,2,0.02795759559645503
2023,AZ,2023-03-14,2,shoplifting,52,0.7268974855078308
2023,AZ,2023-03-14,2,theft_from_building,10,0.13978797798227516
2023,AZ,2023-03-14,2,theft_from_motor_vehicle,21,0.29355475376277784
2023,AZ,2023-03-15,3,burglary,31,0.433342731745053
2023,AZ,2023-03-15,3,motor_vehicle_theft,23,0.3215123493592329
2023,AZ,2023-03-15,3,robbery,1,0.013978797798227515
2023,AZ,2023-03-15,3,shoplifting,46,0.6430246987184658
2023,AZ,2023-03-15,3,theft_from_building,9,0.12580918018404766
2023,AZ,2023-03-15,3,theft_from_motor_vehicle,18,0.2516183603680953
2023,AZ,2023-03-16,4,burglary,18,0.2516183603680953
2023,AZ,2023-03-16,4,motor_vehicle_theft,22,0.30753355156100537
2023,AZ,2023-03-16,4,robbery,2,0.02795759559645503
2023,AZ,2023-03-16,4,shoplifting,42,0.5871095075255557
2023,AZ,2023-03-16,4,theft_from_building,11,0.15376677578050268
2023,AZ,2023-03-16,4,theft_from_motor_vehicle,35,0.48925792293796305
2023,AZ,2023-03-17,5,burglary,23,0.3215123493592329
2023,AZ,2023-03-17,5,motor_vehicle_theft,17,0.23763956256986776
2023,AZ,2023-03-17,5,robbery,4,0.05591519119291006
2023,AZ,2023-03-17,5,shoplifting,57,0.7967914744989684
2023,AZ,2023-03-17,5,theft_from_building,15,0.20968196697341274
2023,AZ,2023-03-17,5,theft_from_motor_vehicle,29,0.40538513614859795
