state,data_year,county_fips,county_name,median_household_income,poverty_rate,unemployment_rate,bachelors_plus_rate
CA,2021,06055,Napa County,97498,0.07653282871048737,0.04657867180329141,0.3700238469734639
CA,2021,06057,Nevada County,74617,0.10474821570182395,0.04017470685448965,0.38675235428862303
CA,2021,06059,Orange County,100485,0.09895392275787006,0.051429033731499756,0.42115793354238823
CA,2021,06061,Placer County,99734,0.06960217253297594,0.041017660862047674,0.4160064431663763
CA,2021,06063,Plumas County,57885,0.11854040325506661,0.07614157745247979,0.2302120023925035
CA,2021,06065,Riverside County,76066,0.11955884004089286,0.0673663676543402,0.23533346303848302
CA,2021,06067,Sacramento County,76422,0.132592772697459,0.06156394043681583,0.3199697732714441
CA,2021,06069,San Benito County,95606,0.07747810746809491,0.06662186003528522,0.20532485498628741
CA,2021,06071,San Bernardino County,70287,0.14296715463737425,0.0694899081352017,0.2191322134682862
CA,2021,06073,San Diego County,88240,0.10719985360534191,0.06154342761284021,0.4026324988751049
CA,2021,06075,San Francisco County,126187,0.10311054162545132,0.05021193291251353,0.5951675619657778
CA,2021,06077,San Joaquin County,74962,0.13526914248563734,0.0678614690738654,0.19468542751431736
CA,2021,06079,San Luis Obispo County,82514,0.12001855822080541,0.04893350062735257,0.36737546171508434
CA,2021,06081,San Mateo County,136837,0.06165054382377704,0.04401614764580335,0.5245556065085272
CA,2021,06083,Santa Barbara County,84356,0.134235125353935,0.05782208910206732,0.35136029940981717
CA,2021,06085,Santa Clara County,140258,0.06654120947880057,0.042623007365101724,0.5439196900484077
CA,2021,06087,Santa Cruz County,96093,0.10915073379613613,0.06002101476835408,0.41891268716837515
CA,2021,06089,Shasta County,61937,0.14178074151914724,0.06125933583450455,0.22580845819499412
CA,2021,06091,Sierra County,56152,0.08158584534731324,0.08248043347381095,0.22323363675769398
CA,2021,06093,Siskiyou County,49857,0.16705522033278478,0.07295428748323186,0.21515687552369425
CA,2021,06095,Solano County,89648,0.08857673396561352,0.05618988247402839,0.2783757228948438
CA,2021,06097,Sonoma County,91607,0.08673442085808254,0.048260841437905676,0.37129150359803054
CA,2021,06099,Stanislaus County,68368,0.13595261281182044,0.07757815682923576,0.17934735888957024
CA,2021,06101,Sutter County,67003,0.12633522756256568,0.07069853698743045,0.1999475890985325
CA,2021,06103,Tehama County,52901,0.17975107336050963,0.07503348250743148,0.16988907203635228
CA,2021,06105,Trinity County,42206,0.22483994878361074,0.054632219845318415,0.18602417353718081
CA,2021,06107,Tulare County,57394,0.19764587425586433,0.09263666224358835,0.1520191047348859
CA,2021,06109,Tuolumne County,66846,0.09899056311881188,0.07484309004065844,0.2458555043159513
CA,2021,06111,Ventura County,94150,0.08855051666476532,0.05284629960336929,0.3403202936750263
CA,2021,06113,Yolo County,78386,0.17228503812779386,0.05294930348390049,0.4307295908777646
CA,2021,06115,Yuba County,62666,0.1515601594434712,0.06132820350857045,0.1774952270356447
NV,2021,32001,Churchill County,61776,0.09966886063529701,0.06129715981348029,0.18899900310795753
NV,2021,32003,Clark County,64210,0.13602272371833432,0.07192855897462594,0.2580466543691539
NV,2021,32005,Douglas County,75688,0.07028721268488548,0.036167922497308935,0.31804895871392036
NV,2021,32007,Elko County,82462,0.11553982031368966,0.04426580182169473,0.16320139190952587
NV,2021,32009,Esmeralda County,31667,0.13353720693170235,0.046511627906976744,0.19107551487414187
NV,2021,32011,Eureka County,68307,0.18335419274092615,0.0,0.11067193675889328
NV,2021,32013,Humboldt County,70315,0.13405030559473438,0.0441257584114727,0.1956907253059053
NV,2021,32015,Lander County,92543,0.10939148786493141,0.09759188846641319,0.08186528497409326
NV,2021,32017,Lincoln County,62164,0.05596646942800789,0.03865267807840972,0.1518043543095735
NV,2021,32019,Lyon County,63952,0.09612888711994047,0.07462737707726572,0.1593234894205768
NV,2021,32021,Mineral County,43009,0.19580731489741302,0.11553030303030302,0.13758389261744966
NV,2021,32023,Nye County,52570,0.15570211038961038,0.08707723372034326,0.12693077436239544
NV,2021,32027,Pershing County,62841,0.09145088368269626,0.1066027296200664,0.10370515585179377
NV,2021,32029,Storey County,66713,0.12028769841269842,0.05051150895140665,0.28270874424720577
NV,2021,32031,Washoe County,74292,0.1094448656994464,0.04762292835075606,0.3234201411237812
NV,2021,32033,White Pine County,63590,0.11144816671063044,0.03632087797230207,0.1340057636887608
NV,2021,32510,Carson City,62217,0.10012605798667387,0.04361412140150256,0.23089091824261163
UT,2021,49001,Beaver County,74569,0.05683156654888104,0.04875,0.2676333251413124
UT,2021,49003,Box Elder County,67486,0.07046813630090938,0.025896922236386816,0.24430025070048667
UT,2021,49005,Cache County,65670,0.13880204687913147,0.024904046175031495,0.3902010685954964
UT,2021,49007,Carbon County,51725,0.16260366926363407,0.06348028825773633,0.16673019745368606
UT,2021,49009,Daggett County,49792,0.06019417475728155,0.02030456852791878,0.19263456090651557
UT,2021,49011,Davis County,92765,0.05503924955414192,0.023832989387595083,0.3804687019069131
UT,2021,49013,Duchesne County,66463,0.1322699259412709,0.050080589454294264,0.14522391923375616
UT,2021,49015,Emery County,61234,0.12547489475305473,0.0404569252736792,0.1512808119864669
UT,2021,49017,Garfield County,45724,0.15626283367556468,0.04648241206030151,0.2515598411798071
UT,2021,49019,Grand County,51433,0.14838439820140123,0.01193444959030994,0.2688217779668226
UT,2021,49021,Iron County,56308,0.15339932321166827,0.040002914602156804,0.29208536702076754
UT,2021,49023,Juab County,74741,0.11269317589859351,0.023001095290251915,0.21068702290076335
UT,2021,49025,Kane County,56395,0.1249155062863323,0.03368083400160385,0.3013038042507591
UT,2021,49027,Millard County,66304,0.12599354686393327,0.030168740412476563,0.2351361718450326
UT,2021,49029,Morgan County,112721,0.018018759256211946,0.012737677681373454,0.39661515820456217
UT,2021,49031,Piute County,33611,0.19865319865319866,0.053237410071942444,0.20254169976171565
UT,2021,49033,Rich County,67396,0.07074340527577938,0.029835390946502057,0.2335127860026918
UT,2021,49035,Salt Lake County,82206,0.08391133199730953,0.0371779863872572,0.3712586156794318
UT,2021,49037,San Juan County,52400,0.21229089381955624,0.09983461133664111,0.20570587569342239
UT,2021,49039,Sanpete County,60186,0.1322769816303546,0.03717092337917485,0.22969661610268377
UT,2021,49041,Sevier County,60262,0.12191314220834516,0.05137524557956778,0.21796955814984484
UT,2021,49043,Summit County,116351,0.05262155340730511,0.0184984132286621,0.551695064113824
UT,2021,49045,Tooele County,87557,0.04751711721928469,0.03903311502143665,0.23016556608287875
UT,2021,49047,Uintah County,61293,0.1242728413368313,0.059004071406201064,0.1730594697874373
UT,2021,49049,Utah County,82893,0.09290582946896744,0.03444248096647269,0.4228845032380835
UT,2021,49051,Wasatch County,94044,0.050642991977347805,0.022563987427031883,0.4424731444125796
UT,2021,49053,Washington County,65040,0.09194104123788174,0.030791052644792007,0.3050185019888555
UT,2021,49055,Wayne County,55605,0.09761036857027136,0.0051813471502590676,0.21776018099547512
UT,2021,49057,Weber County,74345,0.08362581309373392,0.032849354292903726,0.26294973365138613
AZ,2022,04001,Apache County,37483,0.3253909388713765,0.08642423143193978,0.13782567503552817
AZ,2022,04003,Cochise County,58421,0.14702482661574026,0.06358609794628751,0.26696217025087576
AZ,2022,04005,Coconino County,67266,0.16881199988012108,0.06517705173980369,0.3959321720862047
AZ,2022,04007,Gila County,55242,0.1899340693038945,0.06493808770133135,0.1808534771759131
AZ,2022,04009,Graham County,64089,0.176677443139924,0.05634069400630915,0.13952056481405467
AZ,2022,04011,Greenlee County,73756,0.1281289775137887,0.029278256922378575,0.16672360778954562
AZ,2022,04012,La Paz County,46634,0.2099120019555121,0.09688836454800177,0.12382468911131332
AZ,2022,04013,Maricopa County,80675,0.11528376061801518,0.045397455449474586,0.3498486048041403
AZ,2022,04015,Mohave County,53592,0.16010159734665091,0.06944302561832442,0.1440628883767511
AZ,2022,04017,Navajo County,50335,0.2547909240734353,0.08838426677653104,0.17290805053538044
AZ,2022,04019,Pima County,64323,0.14949093495750732,0.055409052059425146,0.3498408712828637
AZ,2022,04021,Pinal County,73313,0.11295184753544343,0.0604912598571105,0.21404759547149882
AZ,2022,04023,Santa Cruz County,51885,0.20208342084260933,0.08963609646469012,0.23503203356206706
AZ,2022,04025,Yavapai County,62430,0.12321749075815275,0.04677625675391871,0.28679766906084836
AZ,2022,04027,Yuma County,56439,0.1753336773827955,0.07660551496369353,0.1642364944607302
CA,2022,06001,Alameda County,122488,0.09152310478464955,0.04714373895963168,0.5093735760808384
CA,2022,06003,Alpine County,101125,0.1372937293729373,0.046348314606741575,0.3960674157303371
CA,2022,06005,Amador County,74853,0.07838492454286551,0.0567312524429058,0.20563618695338703
CA,2022,06007,Butte County,66085,0.182135704634962,0.06672360220231498,0.30833321341717873
CA,2022,06009,Calaveras County,77526,0.13079627623112133,0.05848845488760045,0.21396701683045297
CA,2022,06011,Colusa County,69619,0.10944444444444444,0.06856483945361008,0.14285714285714285
CA,2022,06013,Contra Costa County,120020,0.08259944364282147,0.05522845158439101,0.44497424194635643
CA,2022,06015,Del Norte County,61149,0.14285145043034747,0.05891776432894268,0.17715534770231803
CA,2022,06017,El Dorado County,99246,0.08597879427928921,0.04400344230510021,0.37952585900768454
CA,2022,06019,Fresno County,67756,0.1954692118959933,0.07936457474393237,0.23383867826621738
CA,2022,06021,Glenn County,64033,0.15252269368798818,0.07135016465422613,0.1486874154262517
CA,2022,06023,Humboldt County,57881,0.19824394054334193,0.08463471918908896,0.31083621757894286
CA,2022,06025,Imperial County,53847,0.2105103528725576,0.11659721078698368,0.1591637099481856
CA,2022,06027,Inyo County,63417,0.1192904415753499,0.04664403810358042,0.28953630922333595
CA,2022,06029,Kern County,63883,0.19292977779593448,0.07739960678588667,0.18320038168628713
CA,2022,06031,Kings County,68540,0.16213118629255818,0.08412581147141578,0.1472487484750326
