state,data_year,county_fips,county_name,median_household_income,poverty_rate,unemployment_rate,bachelors_plus_rate,B17001_001E,B23025_003E,B15003_001E
CA,2022,6115,YUBA,66693,0.1541115082379606,0.0742213773943559,0.1735852713178294,80299,34195,51600
CA,2023,6001,ALAMEDA,126240,0.0922063720371209,0.0517337752220997,0.5146936470398402,1624096,908826,1189902
CA,2023,6003,ALPINE,110781,0.1233038348082595,0.0359801488833746,0.4210526315789473,1695,806,1178
CA,2023,6005,AMADOR,81526,0.0775417339083044,0.0610548498507287,0.2244339158257445,37799,17083,32504
CA,2023,6007,BUTTE,68574,0.183435076074897,0.0711086503000761,0.3172056427344656,204601,101141,136246
CA,2023,6009,CALAVERAS,79877,0.133610086100861,0.0585123101100052,0.2218580153527203,45528,19090,35694
CA,2023,6011,COLUSA,75149,0.1080229757272558,0.0838803088803088,0.1452397995705082,21588,10360,13970
CA,2023,6013,CONTRA COSTA,125727,0.0825156830844933,0.0591517728771728,0.4491015896659383,1151878,608587,810988
CA,2023,6015,DEL NORTE,66780,0.1162231484450144,0.064178835406526,0.2097416007656273,24952,11094,19853
CA,2023,6017,EL DORADO,106190,0.0826365648702804,0.0483244424727052,0.3882410175418805,190642,92417,141832
CA,2023,6019,FRESNO,71434,0.1867315123063604,0.0854979588063693,0.2385449590848958,994567,465169,631185
CA,2023,6021,GLENN,70487,0.1235658478214964,0.0737763743361561,0.1648233651884462,28414,13934,18626
CA,2023,6023,HUMBOLDT,61135,0.1890709393198756,0.0870414752171457,0.3208513824268677,132564,65509,93495
CA,2023,6025,IMPERIAL,56393,0.1964172285386278,0.1255773507441409,0.1610026948327937,171599,70148,110582
CA,2023,6027,INYO,72432,0.104828186167899,0.0274536719286204,0.3181981722673958,18392,8742,13897
CA,2023,6029,KERN,67660,0.1904753845893482,0.0835194994238117,0.185735759918398,886335,395704,558810
CA,2023,6031,KINGS,68750,0.1677286786184775,0.0981795972380096,0.1391909571406143,139672,58943,95545
CA,2023,6033,LAKE,58738,0.1667563527653214,0.1146111407723794,0.1774394605088382,66900,28095,48935
CA,2023,6035,LASSEN,64395,0.1367560578888101,0.0761932423274276,0.132127239989711,23977,10329,23326
CA,2023,6037,LOS ANGELES,87760,0.1364301809875908,0.0702811893305105,0.3547099241909215,9693427,5203398,6911969
CA,2023,6039,MADERA,75496,0.198640503263845,0.1059613422262973,0.1712878493305018,151968,67619,100299
CA,2023,6041,MARIN,142785,0.0782781712155589,0.0610817520309794,0.6045916621480051,254311,134541,189953
CA,2023,6043,MARIPOSA,65378,0.1389332859764399,0.0691522861821388,0.3086170848267622,16893,7939,13392
CA,2023,6045,MENDOCINO,64688,0.1516143497757847,0.0934347690011315,0.249236857848476,89200,41537,65191
CA,2023,6047,MERCED,65044,0.184038478667498,0.1075512310659102,0.1478021529454299,280675,124973,171486
CA,2023,6049,MODOC,56648,0.2027633443552196,0.0597196831200487,0.230040385212799,8468,3282,6438
CA,2023,6051,MONO,86953,0.1103707107843137,0.0203866894646849,0.3432124352331606,13056,7603,9650
CA,2023,6053,MONTEREY,94486,0.125814794666972,0.0513364403063461,0.2788372709238955,419124,196118,279274
CA,2023,6055,NAPA,108970,0.0842858428584285,0.0508004239178938,0.3851712542289727,133332,71712,97837
CA,2023,6057,NEVADA,84905,0.1059142434696895,0.0466944558432863,0.3946003256465599,101450,46301,79227
CA,2023,6059,ORANGE,113702,0.0948584240588398,0.0534467748740873,0.4340103767266012,3125637,1685097,2205127
CA,2023,6061,PLACER,114678,0.067050595456435,0.0449190166697052,0.4289064398957894,408930,202943,292101
CA,2023,6063,PLUMAS,64946,0.1073016857999793,0.0972310026552029,0.2046291425565491,19338,7909,15208
CA,2023,6065,RIVERSIDE,89672,0.1106118696184158,0.065828050883077,0.250840176879343,2413439,1165810,1622575
CA,2023,6067,SACRAMENTO,88724,0.1261533488401509,0.0644312820499998,0.3328378226721884,1565333,799922,1087094
CA,2023,6069,SAN BENITO,108289,0.0779469996954005,0.0595732242034492,0.2238665132336018,65660,34210,43450
CA,2023,6071,SAN BERNARDINO,82184,0.1357370441422949,0.0714086560215025,0.229014403381373,2145516,1036527,1407239
CA,2023,6073,SAN DIEGO,102285,0.1035269729034036,0.0623113330157036,0.4208987125049854,3193390,1681203,2269135
CA,2023,6075,SAN FRANCISCO,141446,0.1058288132258385,0.0562403428131069,0.6012076421243264,823358,513866,669238
CA,2023,6077,SAN JOAQUIN,88531,0.1255537920445388,0.0736676232379714,0.215729580366251,773079,372511,504845
CA,2023,6079,SAN LUIS OBISPO,93398,0.1284698119826537,0.050528730325894,0.392014003879453,267954,138634,190233
CA,2023,6081,SAN MATEO,156000,0.064913349580287,0.0447242716381252,0.5307123407216751,738600,413668,543153
CA,2023,6083,SANTA BARBARA,95977,0.137728576550735,0.0614990477917838,0.3586993995460683,423928,220540,278456
CA,2023,6085,SANTA CLARA,159674,0.0686460951021195,0.0446170010774697,0.5586562705035025,1871483,1045969,1338186
CA,2023,6087,SANTA CRUZ,109266,0.1121779290228488,0.0561290642558045,0.4355796468303216,255068,141139,179687
CA,2023,6089,SHASTA,71931,0.129757659558984,0.0624084919472913,0.2326668579004085,178633,81960,128987
CA,2023,6091,SIERRA,60000,0.1234333459931636,0.1218905472636815,0.244047619047619,2633,1206,2184
CA,2023,6093,SISKIYOU,55499,0.1657338952992929,0.0767534186149095,0.2308361557343939,43419,18136,32183
CA,2023,6095,SOLANO,99994,0.0969234778864349,0.0586094264581496,0.2836704143707997,441245,222268,313970
CA,2023,6097,SONOMA,102840,0.0857102881999043,0.0519200317468879,0.378469385158651,478869,259553,353701
CA,2023,6099,STANISLAUS,79661,0.1314843921339279,0.0776673308837927,0.1913694570103662,547160,260457,352585
CA,2023,6101,SUTTER,75450,0.1477321373967995,0.0702605016088508,0.2020745235030949,98110,45374,65268
CA,2023,6103,TEHAMA,61834,0.1541929109546745,0.0671437438387674,0.1884319223750389,64776,27389,44934
CA,2023,6105,TRINITY,53498,0.1800139940207366,0.0594134342478713,0.1804651919323357,15721,5285,12296
CA,2023,6107,TULARE,69489,0.1775726581546041,0.0884601366095645,0.1583949091113421,470078,211259,284744
CA,2023,6109,TUOLUMNE,72259,0.1071966915317126,0.0794754098360655,0.2394446829826821,51746,22875,41922
CA,2023,6111,VENTURA,107327,0.0901785930061142,0.054631255843737,0.3566576039958768,827580,431017,578196
CA,2023,6113,YOLO,88818,0.1626478779367308,0.0534493757404538,0.4408385081248704,210055,109730,130279
CA,2023,6115,YUBA,73313,0.1531778804327848,0.0728907922912205,0.178964071177604,81611,35025,52938
CA,2024,6001,ALAMEDA,129367,0.0921508736291826,0.053758271497643,0.5224594674603354,1621569,908995,1192437
CA,2024,6003,ALPINE,105521,0.0996287128712871,0.044205495818399,0.4109712230215827,1616,837,1112
CA,2024,6005,AMADOR,88044,0.0818705755414616,0.0540070695949469,0.224212927756654,37999,17257,32875
CA,2024,6007,BUTTE,67928,0.192474076115576,0.0745957535511152,0.3192443116252922,203191,100743,135188
CA,2024,6009,CALAVERAS,78647,0.1300266340654062,0.0451549788899186,0.2387170420692151,45806,19422,35917
CA,2024,6011,COLUSA,75672,0.1138515542007297,0.0977643046608563,0.1638843503587412,21651,10556,14077
CA,2024,6013,CONTRA COSTA,127229,0.0836068637239007,0.064895994216424,0.4523103539536753,1155874,608620,816152
